support vectors:
idx: 48147   weight: -0.000259422
idx: 15609   weight: 0.00507799
idx: 49419   weight: -0.00100882
idx: 47517   weight: -0.000574419
idx: 24127   weight: 0.000138241
idx: 48710   weight: -0.00052629
idx: 5933   weight: 0.00309846
idx: 46528   weight: -0.00309147
idx: 24103   weight: 0.000266202
idx: 45417   weight: -0.00266295
idx: 39495   weight: 9.91885e-05
idx: 46842   weight: -0.00482078
idx: 19074   weight: 0.0011874
idx: 48587   weight: -0.000187472
idx: 49117   weight: -0.000206081
idx: 35129   weight: 9.93689e-05
idx: 45969   weight: -0.004245
idx: 8489   weight: 0.00393834
idx: 47525   weight: -0.00133687
idx: 45146   weight: -0.00175626
idx: 33813   weight: 0.000149817
idx: 48014   weight: -0.00103996
idx: 31057   weight: 0.000121924
idx: 46843   weight: -0.00398491
idx: 46555   weight: -0.00188542
idx: 23432   weight: 0.00249566
idx: 3069   weight: 0.00227377
idx: 1455   weight: 0.000444729
idx: 15582   weight: 0.00407614
idx: 46297   weight: -0.00152971
idx: 26435   weight: 0.00141855
idx: 47515   weight: -0.00283471
idx: 10202   weight: 0.000718944
idx: 46098   weight: -0.00391002
idx: 6900   weight: 0.00142682
idx: 48566   weight: -0.000594559
idx: 19077   weight: 0.00196928
idx: 49893   weight: -0.00222505
idx: 16256   weight: 0.000263197
idx: 47002   weight: -0.000253719
idx: 16060   weight: 0.00157742
idx: 44792   weight: 0.000981234
idx: 48577   weight: -0.0002753
idx: 10930   weight: 0.00179349
idx: 23950   weight: 0.00072394
idx: 46298   weight: -0.00141459
idx: 21502   weight: 0.000961413
idx: 49640   weight: -0.000484275
idx: 15513   weight: 0.00149372
idx: 46196   weight: -0.00387991
idx: 5563   weight: 0.00190634
idx: 49862   weight: -0.00200486
idx: 16158   weight: 0.00154737
idx: 22360   weight: 0.00358684
idx: 46705   weight: -0.00402181
idx: 14585   weight: 0.00467052
idx: 48261   weight: -0.00173064
idx: 14566   weight: 0.0008696
idx: 46708   weight: -0.00393747
idx: 28892   weight: 0.000899893
idx: 27496   weight: 0.000485377
idx: 13218   weight: 0.00162869
idx: 47644   weight: -0.00170693
idx: 7633   weight: 0.00514181
idx: 46246   weight: -0.00270408
idx: 46868   weight: -0.00419157
idx: 15761   weight: 0.00303216
idx: 15962   weight: 0.00424261
idx: 45238   weight: -0.00288247
idx: 16088   weight: 0.00074901
idx: 47085   weight: -0.00136611
idx: 5738   weight: 0.00049048
idx: 24613   weight: 0.00145015
idx: 47725   weight: -0.00180204
idx: 33028   weight: 0.000670783
idx: 32921   weight: 0.000973133
idx: 48527   weight: -0.00114281
idx: 49918   weight: -0.00110374
idx: 49377   weight: -0.000290308
idx: 49983   weight: -0.000537431
idx: 48795   weight: -0.000618029
idx: 48764   weight: -0.00145327
idx: 36771   weight: 0.000133016
idx: 43997   weight: 0.00222654
idx: 21794   weight: 0.00503794
idx: 47484   weight: -0.00129038
idx: 47710   weight: -0.00253727
idx: 33468   weight: 0.000736192
idx: 47425   weight: -0.000908062
idx: 46388   weight: -0.00145627
idx: 15693   weight: 0.00162734
idx: 36396   weight: 0.000478456
idx: 46860   weight: -0.00477759
idx: 46828   weight: -0.00222817
idx: 14347   weight: 0.000900346
idx: 37978   weight: 0.000492537
idx: 25645   weight: 0.00194986
idx: 48101   weight: -0.00095571
idx: 27505   weight: 0.00081342
idx: 48408   weight: -0.000364987
idx: 46795   weight: -0.00127502
idx: 16058   weight: 0.0017534
idx: 49914   weight: -0.00147584
idx: 14724   weight: 0.000240787
idx: 47814   weight: -0.00126209
idx: 46791   weight: -0.000799721
idx: 15167   weight: 0.00303944
idx: 48115   weight: -0.000579786
idx: 14427   weight: 0.0010328
idx: 40972   weight: 6.10405e-06
idx: 46260   weight: -0.00136628
idx: 24635   weight: 0.00252209
idx: 46663   weight: -0.00315877
idx: 29462   weight: 0.00131743
idx: 14569   weight: 0.00145664
idx: 47607   weight: -0.00179601
idx: 14274   weight: 0.00308208
idx: 48216   weight: -0.000896422
idx: 47868   weight: -0.00100212
idx: 48051   weight: -0.000388872
idx: 46345   weight: -0.00145145
idx: 6945   weight: 0.00193219
idx: 46671   weight: -0.00191312
idx: 11167   weight: 0.00138652
idx: 49010   weight: -0.000864121
idx: 27372   weight: 0.000386548
idx: 15463   weight: 0.00230296
idx: 34014   weight: 0.000426029
idx: 31571   weight: 0.000292624
idx: 48234   weight: -0.000300851
idx: 49423   weight: -0.00016817
idx: 48691   weight: -0.000318328
idx: 23908   weight: 0.000471837
idx: 40026   weight: 2.53076e-05
idx: 45315   weight: -0.00413044
idx: 15828   weight: 0.00392552
idx: 39548   weight: 0.000992847
idx: 46864   weight: -0.00418628
idx: 49005   weight: -0.000509977
idx: 23954   weight: 0.00141913
idx: 48434   weight: -0.00119483
idx: 46783   weight: -0.00368078
idx: 30735   weight: 0.000418723
idx: 15423   weight: 0.000787773
idx: 48046   weight: -0.000499007
idx: 30260   weight: 0.000448703
idx: 48379   weight: -0.000611022
idx: 27755   weight: 0.000341781
idx: 47629   weight: -0.0034257
idx: 23433   weight: 0.00254217
idx: 13392   weight: 0.00178613
idx: 47854   weight: -0.000101002
idx: 46760   weight: -0.00306516
idx: 28654   weight: 0.000828604
idx: 48411   weight: -0.000654915
idx: 37224   weight: 0.000364368
idx: 15566   weight: 0.00320044
idx: 46940   weight: -0.0015577
idx: 46833   weight: -0.00493275
idx: 15461   weight: 0.0024836
idx: 15161   weight: 0.00154953
idx: 46720   weight: -0.0025595
idx: 46320   weight: -0.00220147
idx: 15496   weight: 0.0019489
idx: 24574   weight: 0.000122359
idx: 48276   weight: -0.0007453
idx: 48218   weight: -0.000571509
idx: 15203   weight: 0.000502418
idx: 46850   weight: -0.00393151
idx: 15701   weight: 0.00131096
idx: 9456   weight: 0.00419835
idx: 47578   weight: -0.00218801
idx: 33701   weight: 4.95391e-05
idx: 1370   weight: 0.00180573
idx: 25085   weight: 0.00185627
idx: 46263   weight: -0.00409311
idx: 23150   weight: 0.0029436
idx: 47526   weight: -0.000639216
idx: 45860   weight: -0.00224375
idx: 34216   weight: 0.000309446
idx: 48143   weight: -0.000398642
idx: 25798   weight: 0.00164353
idx: 46798   weight: -0.00244059
idx: 14451   weight: 0.000892427
idx: 14373   weight: 0.0024242
idx: 48646   weight: -0.000375807
idx: 14827   weight: 0.00092338
idx: 28060   weight: 0.000476287
idx: 48372   weight: -0.000328392
idx: 2224   weight: 0.00182357
idx: 48972   weight: -0.000154241
idx: 46837   weight: -0.00294235
idx: 15612   weight: 0.00256358
idx: 26734   weight: 0.000599211
idx: 46545   weight: -0.00184029
idx: 30890   weight: 0.000264347
idx: 36941   weight: 0.000560488
idx: 49781   weight: -0.000509075
idx: 37968   weight: 0.000668791
idx: 48178   weight: -0.000738122
idx: 29504   weight: 0.00242792
idx: 48328   weight: -0.00120617
idx: 46674   weight: -0.00122069
idx: 29109   weight: 0.000238029
idx: 49034   weight: -0.000534451
idx: 33862   weight: 0.00166963
idx: 48823   weight: -0.00114321
idx: 38167   weight: 0.000431204
idx: 48723   weight: -0.000567721
idx: 48805   weight: -0.0027197
idx: 34287   weight: 0.00146712
idx: 24931   weight: 0.00110558
idx: 15522   weight: 0.000939006
idx: 28876   weight: 0.000389182
idx: 45991   weight: -0.00461324
idx: 22264   weight: 0.00415821
idx: 47766   weight: -0.000762128
idx: 26557   weight: 0.000970583
idx: 46525   weight: -0.00237438
idx: 23869   weight: 0.000968221
idx: 46635   weight: -0.00233166
idx: 28566   weight: 0.000772173
idx: 14674   weight: 0.00142926
idx: 23146   weight: 0.00220275
idx: 46755   weight: -0.00075512
idx: 46574   weight: -0.00209286
idx: 15597   weight: 0.00257069
idx: 46826   weight: -0.00341687
idx: 15207   weight: 0.00157678
idx: 4097   weight: 0.00110548
idx: 45420   weight: -0.0034941
idx: 47621   weight: -0.00228665
idx: 22098   weight: 0.00331993
idx: 47435   weight: -0.00344764
idx: 33278   weight: 0.0021213
idx: 21117   weight: 0.00125094
idx: 15713   weight: 0.00272599
idx: 46851   weight: -0.00492125
idx: 48547   weight: -0.000508038
idx: 48673   weight: -0.000429648
idx: 42239   weight: 0.000409053
idx: 48634   weight: -0.00115302
idx: 33369   weight: 0.000328073
idx: 32797   weight: 0.000416161
idx: 48871   weight: -0.000329937
idx: 38455   weight: 0.00135955
idx: 49201   weight: -0.000806815
idx: 5987   weight: 0.00196048
idx: 47466   weight: -0.00113168
idx: 48797   weight: -0.000324933
idx: 36251   weight: 0.000915525
idx: 31798   weight: 5.72357e-05
idx: 46743   weight: -0.00284358
idx: 14455   weight: 0.00122471
idx: 46707   weight: -0.00362186
idx: 29698   weight: 0.00245386
idx: 15304   weight: 0.00291345
idx: 48258   weight: -0.00120433
idx: 29247   weight: 0.000480407
idx: 46811   weight: -0.00201184
idx: 48543   weight: -0.000283688
idx: 49453   weight: -0.000130884
idx: 48756   weight: -0.000571387
idx: 34215   weight: 0.000223802
idx: 49108   weight: -0.000186656
idx: 12703   weight: 0.00163713
idx: 46768   weight: -0.00308765
idx: 30134   weight: 0.000473013
idx: 47786   weight: -0.000849926
idx: 27137   weight: 0.000540618
idx: 29662   weight: 0.000519064
idx: 45876   weight: -0.0045016
idx: 22614   weight: 0.00102584
idx: 38051   weight: 0.000621088
idx: 48139   weight: -0.00120749
idx: 15339   weight: 0.00154584
idx: 46775   weight: -0.00270474
idx: 14457   weight: 0.00238647
idx: 46714   weight: -0.00211952
idx: 29069   weight: 0.000914206
idx: 47552   weight: -0.00365066
idx: 21515   weight: 0.00215643
idx: 24309   weight: 0.000561301
idx: 23828   weight: 0.0010523
idx: 48702   weight: -0.00128305
idx: 32607   weight: 0.000743703
idx: 12395   weight: 0.00176467
idx: 46305   weight: -0.00163696
idx: 46815   weight: -0.00188816
idx: 28271   weight: 0.000747106
idx: 15306   weight: 0.00168789
idx: 29249   weight: 0.000957718
idx: 48363   weight: -0.000453933
idx: 48226   weight: -0.000181872
idx: 48521   weight: -0.000430365
idx: 29708   weight: 0.00032864
idx: 48302   weight: -0.000792748
idx: 29007   weight: 0.0019576
idx: 15475   weight: 0.00137841
idx: 46840   weight: -0.00477222
idx: 15643   weight: 0.00391347
idx: 15564   weight: 0.00241736
idx: 46717   weight: -0.003784
idx: 29025   weight: 0.000920787
idx: 14723   weight: 0.00171045
idx: 48259   weight: -0.000780886
idx: 48175   weight: -0.000635284
idx: 46862   weight: -0.00472653
idx: 15832   weight: 0.00434631
idx: 46880   weight: -0.00481528
idx: 36227   weight: 0.000454408
idx: 49002   weight: -0.00042633
idx: 15979   weight: 0.00374929
idx: 36273   weight: 0.000838152
idx: 49696   weight: -0.000433737
idx: 10868   weight: 0.00401963
idx: 47996   weight: -0.00149589
idx: 32157   weight: 0.00127826
idx: 47857   weight: -0.00159295
idx: 15385   weight: 0.00305903
idx: 46701   weight: -0.00213805
idx: 48735   weight: -0.00147809
idx: 33974   weight: 0.0007018
idx: 48664   weight: -0.000482611
idx: 46236   weight: -0.00197699
idx: 34337   weight: 0.000981897
idx: 48994   weight: -0.000470278
idx: 30598   weight: 0.000803018
idx: 46432   weight: -0.00327564
idx: 25954   weight: 0.00057033
idx: 15705   weight: 0.00198438
idx: 31421   weight: 0.000465954
idx: 48316   weight: -0.00130318
idx: 46325   weight: -0.00147636
idx: 13750   weight: 0.00203874
idx: 46636   weight: -0.00144826
idx: 49779   weight: -0.000188323
idx: 14533   weight: 0.0027523
idx: 47915   weight: -0.00227861
idx: 46829   weight: -0.0041754
idx: 15495   weight: 0.000765231
idx: 47783   weight: -0.00162235
idx: 33224   weight: 0.000386024
idx: 46797   weight: -0.00299855
idx: 15460   weight: 0.00275741
idx: 46747   weight: -0.00164719
idx: 14096   weight: 0.00314459
idx: 29822   weight: 0.000675505
idx: 46861   weight: -0.00427249
idx: 15762   weight: 0.0042284
idx: 47355   weight: -0.00207863
idx: 44054   weight: 0.0031071
idx: 45235   weight: -0.00262165
idx: 11180   weight: 0.00180044
idx: 36607   weight: 0.000183755
idx: 48107   weight: -0.000472972
idx: 14638   weight: 0.00179691
idx: 46744   weight: -0.00268187
idx: 29250   weight: 0.00141342
idx: 12523   weight: 0.00419059
idx: 30824   weight: 0.000330551
idx: 5857   weight: 0.00228367
idx: 32727   weight: 0.000582125
idx: 6904   weight: 0.00118361
idx: 24841   weight: 0.00153692
idx: 47728   weight: -0.000628603
idx: 49182   weight: -0.000394924
idx: 29801   weight: 0.00113578
idx: 46699   weight: -0.00225822
idx: 28567   weight: 0.000565745
idx: 22371   weight: 0.00336343
idx: 46250   weight: -0.00345021
idx: 22318   weight: 0.00231652
idx: 26575   weight: 0.00241906
idx: 48035   weight: -0.000781932
idx: 14958   weight: 0.00271972
idx: 48447   weight: -0.000535566
idx: 46380   weight: -0.00312248
idx: 48635   weight: -0.00127731
idx: 31683   weight: 0.000457957
idx: 14344   weight: 0.00284975
idx: 46691   weight: -0.00205953
idx: 29132   weight: 0.00103021
idx: 47473   weight: -0.00242326
idx: 21202   weight: 0.00328815
idx: 48997   weight: -0.000683922
idx: 33518   weight: 0.000360616
idx: 47551   weight: -0.0037423
idx: 22716   weight: 0.00347788
idx: 46240   weight: -0.00295706
idx: 10434   weight: 0.000942457
idx: 27613   weight: 0.000437006
idx: 49036   weight: -0.000278754
idx: 13051   weight: 0.0024823
idx: 46264   weight: -0.00481058
idx: 33647   weight: 0.000605301
idx: 27900   weight: 0.000180378
idx: 24074   weight: 0.00081549
idx: 37474   weight: 0.000351573
idx: 10232   weight: 0.00241328
idx: 48667   weight: -0.000543143
idx: 35047   weight: 0.000710444
idx: 48993   weight: -0.000638343
idx: 33562   weight: 0.000421576
idx: 49480   weight: -0.000287649
idx: 15999   weight: 0.00335189
idx: 49984   weight: -0.000500616
idx: 38027   weight: 0.000190379
idx: 46935   weight: -0.00135489
idx: 46876   weight: -0.00576544
idx: 5578   weight: 0.00143371
idx: 40222   weight: 0.000387328
idx: 15871   weight: 0.00444615
idx: 46054   weight: -0.0025535
idx: 49744   weight: -0.000176541
idx: 14166   weight: 0.000786566
idx: 48069   weight: -0.000949799
idx: 31921   weight: 0.0015552
idx: 30085   weight: 0.000429765
idx: 48681   weight: -0.000303364
idx: 49029   weight: -0.000282996
idx: 48044   weight: -0.000405754
idx: 38300   weight: 0.000583162
idx: 47969   weight: -0.00134019
idx: 10550   weight: 0.000969565
idx: 46788   weight: -0.000260771
idx: 45750   weight: -0.0018889
idx: 5768   weight: 0.00121137
idx: 45978   weight: -0.00325402
idx: 20252   weight: 0.00114175
idx: 49985   weight: -0.000999908
idx: 49405   weight: -0.00146521
idx: 6638   weight: 0.00569045
idx: 47479   weight: -0.00157281
idx: 46436   weight: -0.00145149
idx: 34013   weight: 0.000649475
idx: 35181   weight: 0.000207149
idx: 46875   weight: -0.00493638
idx: 15882   weight: 0.00343225
idx: 16008   weight: 0.00302067
idx: 39841   weight: 0.000432793
idx: 45171   weight: -0.00228847
idx: 22555   weight: 0.00165134
idx: 33816   weight: 0.000427516
idx: 15600   weight: 0.00462197
idx: 46848   weight: -0.00359173
idx: 22452   weight: 0.00216389
idx: 48737   weight: -0.000764784
idx: 27014   weight: 0.000787513
idx: 48497   weight: -0.00040566
idx: 45960   weight: -0.00339307
idx: 5601   weight: 0.00414404
idx: 49399   weight: -0.000691336
idx: 40221   weight: 0.000411982
idx: 37110   weight: 0.000221609
idx: 46884   weight: -0.00416984
idx: 44857   weight: 0.00371387
idx: 47159   weight: -0.00205176
idx: 46929   weight: -0.00107154
idx: 33280   weight: 0.000861262
idx: 39216   weight: 0.00055569
idx: 3056   weight: 0.00357216
idx: 49953   weight: -0.000476317
idx: 45930   weight: -0.00199587
idx: 15740   weight: 0.00166506
idx: 48670   weight: -0.000454377
idx: 46426   weight: -0.00529308
idx: 13166   weight: 0.000943561
idx: 32035   weight: 0.000756416
idx: 48998   weight: -0.000443152
idx: 23441   weight: 0.00375267
idx: 47492   weight: -0.00334359
idx: 38941   weight: 0.00126243
idx: 11018   weight: 0.000975171
idx: 36292   weight: 0.000925888
idx: 49414   weight: -0.00133434
idx: 48860   weight: -0.000418247
idx: 46660   weight: -0.00152018
idx: 28992   weight: 0.00160106
idx: 11463   weight: 0.00149816
idx: 47746   weight: -0.000711625
idx: 23149   weight: 0.0019803
idx: 46433   weight: -0.00575172
idx: 45902   weight: -0.00444112
idx: 10409   weight: 0.00485824
idx: 47717   weight: -0.000545695
idx: 25182   weight: 0.00118837
idx: 32608   weight: 0.000507071
idx: 9595   weight: 0.0029263
idx: 48117   weight: -0.000540852
idx: 30819   weight: 0.000456257
idx: 47871   weight: -0.00129833
idx: 45945   weight: -0.00375968
idx: 32125   weight: 0.000495192
idx: 47753   weight: -0.000157387
idx: 28627   weight: 0.000964423
idx: 48345   weight: -0.000537552
idx: 15214   weight: 0.00107812
idx: 48047   weight: -0.000609848
idx: 48118   weight: -0.000290193
idx: 48299   weight: -0.000308714
idx: 47582   weight: -0.00510064
idx: 21008   weight: 0.000471725
idx: 23434   weight: 0.00296091
idx: 47273   weight: -0.00219655
idx: 16001   weight: 0.00354891
idx: 9464   weight: 0.00336954
idx: 45182   weight: -0.00193982
idx: 38745   weight: 0.000884976
idx: 47434   weight: -0.00134357
idx: 34333   weight: 0.000561367
idx: 11172   weight: 0.00397724
idx: 23724   weight: 0.00220173
idx: 49572   weight: -0.000237249
idx: 46688   weight: -0.00347428
idx: 14730   weight: 0.00223914
idx: 15491   weight: 0.00457112
idx: 46831   weight: -0.00406219
idx: 15501   weight: 0.0025489
idx: 14424   weight: 0.00133104
idx: 29691   weight: 0.000606329
idx: 46293   weight: -0.00161228
idx: 26343   weight: 0.000919126
idx: 48588   weight: -0.000426658
idx: 46269   weight: -0.00249558
idx: 15341   weight: 0.00148915
idx: 46776   weight: -0.0044664
idx: 14458   weight: 0.00187383
idx: 48146   weight: -0.000272851
idx: 48364   weight: -0.000374206
idx: 46879   weight: -0.00425892
idx: 15911   weight: 0.00455922
idx: 39006   weight: 0.00031828
idx: 27568   weight: 0.000129373
idx: 46667   weight: -0.0017778
idx: 28067   weight: 0.000425684
idx: 15077   weight: 0.00432395
idx: 46741   weight: -0.00547385
idx: 14799   weight: 0.0024395
idx: 15168   weight: 0.00203028
idx: 48235   weight: -0.00027477
idx: 46847   weight: -0.00527704
idx: 15599   weight: 0.00362888
idx: 46827   weight: -0.00186276
idx: 22463   weight: 0.00155993
idx: 39056   weight: 0.000845252
idx: 49167   weight: -0.000313331
idx: 34191   weight: 0.00201836
idx: 48767   weight: -0.000751058
idx: 49229   weight: -0.000538821
